Accession	Length	Identities	Num Mismatches	Percentage of length that is mismatches.
ADW83149.1	512	455/511	56	10.9375
UOU85293.1	510	402/510	108	21.1765
QTT60868.1	511	402/510	108	21.135
UQJ73604.1	511	402/510	108	21.135
UQJ73319.1	511	402/510	108	21.135
YP_010564768.1	511	404/510	106	20.7436
UQJ73682.1	511	402/510	108	21.135
XP_043071756.1	509	421/509	88	17.2888
UZA61119.1	511	404/510	106	20.7436
XP_041632320.1	512	418/510	92	17.9688
YP_010240537.1	511	401/510	109	21.3307
QQV73779.1	510	401/510	109	21.3725
YP_010564755.1	511	402/510	108	21.135
YP_010506499.1	511	402/510	108	21.135
AEW48029.1	512	401/511	110	21.4844
YP_010397513.1	511	401/510	109	21.3307
BAO24715.1	511	398/511	113	22.1135
AEW48028.1	512	398/511	113	22.0703
YP_010506486.1	510	396/510	114	22.3529
BAO24718.1	511	398/510	112	21.9178
YP_010564729.1	511	401/510	109	21.3307
YP_010397474.1	511	402/510	108	21.135
DAA06196.1	511	395/510	115	22.5049
YP_010564794.1	511	404/510	106	20.7436
YP_010564781.1	511	402/510	108	21.135
WKU83871.1	510	399/510	111	21.7647
UQJ73487.1	511	401/510	109	21.3307
AEY80471.1	513	400/511	111	21.6374
QUE26641.1	511	397/510	113	22.1135
BAO24706.1	511	397/510	113	22.1135
YP_010372425.1	510	401/510	109	21.3725
ACD54999.1	512	398/510	112	21.875
UQJ73643.1	511	402/510	108	21.135
YP_009684648.1	511	401/510	109	21.3307
QNH29481.1	512	399/511	112	21.875
ACD54976.1	511	398/510	112	21.9178
AEW48031.1	512	400/511	111	21.6797
QNH29475.1	512	399/511	112	21.875
YP_010225778.1	511	406/510	104	20.3523
UPX88500.1	510	396/510	114	22.3529
QID03237.1	510	401/510	109	21.3725
AAL79942.1	512	397/511	114	22.2656
QNH29488.1	512	400/511	111	21.6797
BAO24730.1	511	397/510	113	22.1135
WKU83850.1	510	400/510	110	21.5686
QXG19266.1	510	400/510	110	21.5686
UQJ73332.1	511	402/510	108	21.135
YP_010272004.1	513	396/510	114	22.2222
AAX35703.1	511	395/510	115	22.5049
BAO24731.1	511	397/510	113	22.1135
QXG19253.1	510	399/510	111	21.7647
QXG19630.1	510	399/510	111	21.7647
QXG19058.1	510	395/510	115	22.549
QXG19136.1	510	396/510	114	22.3529
AEY80464.1	512	402/511	109	21.2891
BAO24711.1	511	396/510	114	22.3092
AEY80462.1	512	399/511	112	21.875
YP_010397578.1	511	403/510	107	20.9393
YP_010610955.1	510	396/510	114	22.3529
QNH29339.1	512	397/511	114	22.2656
ACD54982.1	511	398/510	112	21.9178
QNE85558.1	511	403/511	108	21.135
YP_010883347.1	510	398/510	112	21.9608
QXG19487.1	510	400/510	110	21.5686
BAO24749.1	511	398/510	112	21.9178
YP_009689999.1	511	399/510	111	21.7221
AAX35707.1	511	397/510	113	22.1135
UQJ73526.1	511	401/510	109	21.3307
QXG19552.1	510	397/510	113	22.1569
UQJ73591.1	511	401/510	109	21.3307
ACD54995.1	511	398/510	112	21.9178
WKU83833.1	510	401/510	109	21.3725
YP_010262572.1	511	394/510	116	22.7006
QLY89612.1	511	401/511	110	21.5264
BAO24772.1	511	397/510	113	22.1135
YP_010035948.1	511	400/510	110	21.5264
BAO24773.1	511	398/510	112	21.9178
QXG19435.1	510	401/510	109	21.3725
AEL13700.1	512	398/511	113	22.0703
AEW48047.1	512	395/511	116	22.6562
YP_010397591.1	511	400/510	110	21.5264
BAO24712.1	511	397/510	113	22.1135
ACD54955.1	511	398/510	112	21.9178
BAO24739.1	511	397/510	113	22.1135
BAO24710.1	511	396/510	114	22.3092
YP_010691291.1	511	400/510	110	21.5264
BAT46679.1	511	397/510	113	22.1135
YP_010895185.1	510	402/510	108	21.1765
QNH29377.1	512	398/511	113	22.0703
YP_010397500.1	511	401/510	109	21.3307
UQJ73513.1	511	400/510	110	21.5264
WKU84223.1	510	397/510	113	22.1569
QXG19240.1	510	399/510	111	21.7647
QOV03280.1	511	403/511	108	21.135
AMH85345.1	512	401/510	109	21.2891
BAO24758.1	511	397/510	113	22.1135
DAA06261.1	511	400/510	110	21.5264
UPX88435.1	511	399/510	111	21.7221
UQJ73565.1	511	401/510	109	21.3307
BAO24750.1	511	397/510	113	22.1135
ANZ03449.1	511	396/510	114	22.3092
QXG19097.1	510	397/510	113	22.1569
CAC14066.1	512	397/510	113	22.0703
AID22211.1	512	402/511	109	21.2891
YP_010691239.1	511	398/510	112	21.9178
YP_010397526.1	511	401/510	109	21.3307
QXG19071.1	510	397/510	113	22.1569
YP_010259302.1	511	395/510	115	22.5049
QLY89929.1	511	402/511	109	21.3307
YP_010385049.1	510	400/510	110	21.5686
AHG53753.1	511	397/510	113	22.1135
QXG19110.1	510	396/510	114	22.3529
ADW41417.1	511	397/510	113	22.1135
AAX35704.1	511	399/510	111	21.7221
QXG19201.1	510	396/510	114	22.3529
YP_010231156.1	511	396/510	114	22.3092
AAF77258.1	512	396/511	115	22.4609
WKU84232.1	510	399/510	111	21.7647
ACD54895.1	511	398/510	112	21.9178
ACD54897.1	511	398/510	112	21.9178
YP_010397604.1	511	401/510	109	21.3307
QXG19513.1	510	397/510	113	22.1569
BAO24744.1	511	397/510	113	22.1135
QNH29500.1	512	397/511	114	22.2656
QKD74987.1	511	403/511	108	21.135
ACD55014.1	511	400/510	110	21.5264
AEY80473.1	514	399/511	112	21.7899
QXG19344.1	510	400/510	110	21.5686
QGR23995.1	511	400/510	110	21.5264
ACF40681.1	512	397/511	114	22.2656
BAO24734.1	511	396/510	114	22.3092
WBU93850.1	511	398/510	112	21.9178
YP_010397539.1	511	401/510	109	21.3307
YP_009166080.1	511	398/510	112	21.9178
YP_010225765.1	511	407/510	103	20.1566
KAI8032971.1	510	396/510	114	22.3529
UJP29439.1	512	401/511	110	21.4844
QNH29461.1	512	397/511	114	22.2656
ADW41261.1	511	399/510	111	21.7221
NP_006903.1	511	397/510	113	22.1135
AEW48034.1	512	401/511	110	21.4844
DAA06235.1	511	400/510	110	21.5264
ADW41352.1	511	397/510	113	22.1135
AEY80472.1	514	399/511	112	21.7899
YP_010865930.1	511	410/510	100	19.5695
BAO24756.1	511	397/510	113	22.1135
